City_ID,Unnamed: 0,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
712,712,Vao,NC,-22.6667,167.4833,69.24,58,71,18.66,broken clouds,Hotel Kou-Bugny
715,715,Ponta Do Sol,PT,32.6667,-17.1,69.71,72,85,2.86,overcast clouds,Hotel do Campo
718,718,Rikitea,PF,-23.1203,-134.9692,72.37,77,76,13.91,broken clouds,People ThankYou
721,721,Hilo,US,19.7297,-155.09,74.93,79,40,0.0,scattered clouds,Hilo Hawaiian Hotel
725,725,Poum,NC,-20.2333,164.0167,74.17,65,74,17.58,broken clouds,Gîte kajeon
727,727,Mulege,MX,26.8833,-111.9833,70.63,68,23,3.09,few clouds,Casa Granada
734,734,Venice,US,27.0998,-82.4543,66.97,87,1,5.99,clear sky,A Beach Retreat On Casey Key
744,744,Nakanojo,JP,36.5833,138.85,69.57,55,90,1.01,overcast clouds,山木屋旅館
745,745,Coolum Beach,AU,-26.5333,153.1,74.1,70,64,1.99,broken clouds,Palmer Coolum Resort
751,751,Ribeira Grande,PT,38.5167,-28.7,70.52,86,100,12.53,overcast clouds,Quinta da Meia Eira
758,758,Mabaruma,GY,8.2,-59.7833,71.38,94,33,0.83,scattered clouds,Monty Brooms Guest House
760,760,Arraial Do Cabo,BR,-22.9661,-42.0278,69.55,90,90,15.05,overcast clouds,Pousada Porto Praia
778,778,Tambura,SS,5.6,27.4667,74.1,80,95,5.17,overcast clouds,Rikito Lodge
779,779,Cidreira,BR,-30.1811,-50.2056,68.23,93,87,15.39,overcast clouds,Hotel Castelo
784,784,Hasaki,JP,35.7333,140.8333,70.09,77,91,14.63,overcast clouds,Hotel Sunrise Choshi
789,789,Alta Floresta,BR,-9.8756,-56.0861,70.3,95,93,2.71,overcast clouds,Floresta Amazonica Hotel
806,806,Puerto Ayora,EC,-0.7393,-90.3518,67.91,92,53,4.59,broken clouds,Finch Bay Galapagos Hotel
811,811,Blythe,US,33.6103,-114.5964,71.04,32,97,5.46,overcast clouds,Rodeway Inn & Suites
826,826,Imbituba,BR,-28.24,-48.6703,70.83,96,66,4.99,broken clouds,Praia Hotel Imbituba
847,847,East London,ZA,-33.0153,27.9116,65.34,45,0,18.41,clear sky,Tu Casa
854,854,Nouadhibou,MR,20.931,-17.0347,66.18,82,82,10.36,broken clouds,El Medina
861,861,Escarcega,MX,18.6089,-90.7454,66.88,92,12,2.66,few clouds,Hotel Maria Isabel
866,866,Geraldton,AU,-28.7667,114.6,70.12,42,90,13.8,overcast clouds,Broadwater Mariner Resort
871,871,Katsuura,JP,35.1333,140.3,71.64,69,46,8.7,scattered clouds,Katsuura Hotel Mikazuki
