,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Qaanaaq,GL,77.484,-69.3632,5.59,72,8,8.41,
1,Nizhnevartovsk,RU,60.9344,76.5531,-0.38,85,40,4.47,
2,Vao,NC,-22.6667,167.4833,69.39,60,78,19.77,
3,Moussoro,TD,13.6408,16.4901,84.85,19,94,12.28,
4,Port Alfred,ZA,-33.5906,26.891,62.35,70,55,25.03,
5,Ponta Do Sol,PT,32.6667,-17.1,68.72,73,83,2.51,
6,Mataura,NZ,-46.1927,168.8643,52.48,74,96,6.33,
7,Yellowknife,CA,62.456,-114.3525,31.41,100,75,6.91,
8,Rikitea,PF,-23.1203,-134.9692,72.5,76,74,13.87,
9,Paamiut,GL,61.994,-49.6678,39.4,62,100,24.14,
10,Goderich,CA,43.7501,-81.7165,45.91,49,99,19.57,
11,Hilo,US,19.7297,-155.09,74.12,85,10,2.71,
12,Provideniya,RU,64.3833,-173.3,23.11,80,90,24.61,
13,Masuguru,TZ,-11.3667,38.4167,80.51,64,16,8.25,
14,Nikolskoye,RU,59.7035,30.7861,38.88,87,4,6.69,
15,Poum,NC,-20.2333,164.0167,74.12,65,69,18.14,
16,Hermanus,ZA,-34.4187,19.2345,54.9,66,82,8.61,
17,Mulege,MX,26.8833,-111.9833,70.92,69,25,2.89,
18,Ca Mau,VN,9.1769,105.15,89.58,54,99,14.03,
19,Bambous Virieux,MU,-20.3428,57.7575,78.22,69,40,12.66,
20,Trelleborg,SE,55.3751,13.1569,50.74,78,100,10.22,
21,Mukhtolovo,RU,55.4644,43.1953,35.17,84,13,2.82,
22,Noyabrsk,RU,63.1994,75.4507,3.78,96,98,8.88,
23,Ahvaz,IR,31.3203,48.6693,73.35,49,0,2.3,
24,Venice,US,27.0998,-82.4543,66.99,86,1,5.99,
25,Port-Gentil,GA,-0.7193,8.7815,76.48,85,88,3.87,
26,Kodiak,US,57.79,-152.4072,34.9,74,81,12.17,
27,Ende,ID,-8.8432,121.6623,87.21,68,71,5.26,
28,Punta Arenas,CL,-53.15,-70.9167,48.31,81,0,5.75,
29,Sault Sainte Marie,CA,46.5168,-84.3333,37.22,85,90,0.0,
30,Mar Del Plata,AR,-38.0023,-57.5575,59.09,94,90,1.01,
31,Kihei,US,20.785,-156.4656,77.85,89,72,2.51,
32,Cape Town,ZA,-33.9258,18.4232,58.1,74,20,6.91,
33,Mahebourg,MU,-20.4081,57.7,78.26,69,40,12.66,
34,Nakanojo,JP,36.5833,138.85,67.57,55,91,3.0,
35,Coolum Beach,AU,-26.5333,153.1,74.1,68,66,3.0,
36,Samarai,PG,-10.6167,150.6667,83.37,71,66,14.76,
37,Galesong,ID,-5.3166,119.3661,89.62,61,54,8.55,
38,Saskylakh,RU,71.9167,114.0833,-14.76,100,98,3.62,
39,Albany,US,42.6001,-73.9662,41.72,77,100,5.53,
40,Pimentel,PE,-6.8367,-79.9342,62.42,89,29,12.95,
41,Ribeira Grande,PT,38.5167,-28.7,70.47,87,99,13.06,
42,Champerico,GT,14.3,-91.9167,80.04,78,27,2.44,
43,Barrow,US,71.2906,-156.7887,8.62,85,20,11.5,
44,Georgetown,MY,5.4112,100.3354,85.89,74,20,1.99,
45,Fortuna,US,40.5982,-124.1573,56.32,70,90,5.75,
46,Aktash,RU,50.3,87.7333,23.2,57,100,5.21,
47,Faanui,PF,-16.4833,-151.75,79.84,80,48,15.08,
48,Mabaruma,GY,8.2,-59.7833,71.47,94,32,0.65,
