City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Esperance,AU,2021-11-02 01:31:55,-33.8667,121.9,62.44,54,74,18.75
1,Murray Bridge,AU,2021-11-02 01:31:55,-35.1167,139.2667,90.43,17,92,19.75
2,Banepa,NP,2021-11-02 01:31:56,27.6298,85.5214,53.92,94,20,0.0
3,Saint George,US,2021-11-02 01:30:40,37.1041,-113.5841,70.39,36,1,1.99
4,Rikitea,PF,2021-11-02 01:29:50,-23.1203,-134.9692,72.61,67,100,12.17
5,Ushuaia,AR,2021-11-02 01:30:52,-54.8,-68.3,51.46,58,0,11.5
6,Chuy,UY,2021-11-02 01:31:56,-33.6971,-53.4616,65.26,93,95,10.58
7,Wiarton,CA,2021-11-02 01:31:57,44.7407,-81.1332,43.61,65,40,10.36
8,Atuona,PF,2021-11-02 01:31:38,-9.8,-139.0333,78.17,72,42,10.51
9,Upernavik,GL,2021-11-02 01:31:57,72.7868,-56.1549,23.67,95,100,10.74
10,Dubbo,AU,2021-11-02 01:31:57,-32.25,148.6167,77.13,41,61,8.05
11,Talnakh,RU,2021-11-02 01:31:58,69.4865,88.3972,-0.42,93,100,11.32
12,Aklavik,CA,2021-11-02 01:31:58,68.2191,-135.0107,31.03,91,100,4.34
13,Hilo,US,2021-11-02 01:31:58,19.7297,-155.09,82.13,67,75,8.05
14,Nikolskoye,RU,2021-11-02 01:31:59,59.7035,30.7861,39.87,83,6,6.38
15,Springdale,US,2021-11-02 01:27:05,36.1867,-94.1288,46.26,94,90,8.01
16,Ariquemes,BR,2021-11-02 01:27:15,-9.9133,-63.0408,74.19,96,100,3.69
17,Bethel,US,2021-11-02 01:31:59,41.3712,-73.414,50.31,73,1,3.44
18,Kisangani,CD,2021-11-02 01:31:59,0.5167,25.2,66.72,97,100,1.45
19,Ponta Do Sol,PT,2021-11-02 01:31:39,32.6667,-17.1,70.72,73,61,1.54
20,Dikson,RU,2021-11-02 01:32:00,73.5069,80.5464,4.82,94,7,8.5
